Timestamp,Node,N,NPerNode,Time_sec,Memory_kB
2026-01-23T03:10:19-05:00,c21-05,131328,24,   00:06:51    0.11      6.85     410.96 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139024448 kB
2026-01-23T03:10:26-05:00,c21-09,131328,36,   00:00:37    0.01      0.62      37.39 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141006464 kB
2026-01-23T03:10:59-05:00,c21-06,131328,36,   00:00:37    0.01      0.62      36.97 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141008012 kB
2026-01-23T03:11:17-05:00,c18-16,131328,12,   00:01:53    0.03      1.88     112.85 % HH:MM:SS=hours=minutes=seconds,Overall usage:         137037884 kB
2026-01-23T03:11:26-05:00,c21-05,131328,36,   00:00:37    0.01      0.62      37.36 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141007284 kB
2026-01-23T03:12:01-05:00,c18-16,131328,36,   00:00:38    0.01      0.64      38.48 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141875920 kB
2026-01-23T03:51:54-05:00,c18-03,131328,24,   00:00:59    0.02      0.99      59.19 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139613132 kB
2026-01-23T03:52:58-05:00,c18-03,131328,12,   00:02:00    0.03      1.99     119.51 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136830468 kB
2026-01-23T03:54:06-05:00,c18-03,131328,36,   00:00:38    0.01      0.64      38.38 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141986040 kB
2026-01-23T08:35:52-05:00,c24-31,131328,12,   00:00:27    0.01      0.44      26.52 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136956860 kB
2026-01-23T08:38:18-05:00,c24-30,131328,12,   00:00:26    0.01      0.43      25.64 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136958800 kB
2026-01-23T08:38:21-05:00,c24-44,131328,12,   00:00:22    0.01      0.37      22.48 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136952828 kB
2026-01-23T08:39:11-05:00,c24-44,131328,24,   00:00:14    0.00      0.23      14.00 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139211488 kB
2026-01-23T08:39:49-05:00,c24-31,131328,24,   00:00:19    0.01      0.32      19.33 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139210088 kB
2026-01-23T08:41:04-05:00,c24-44,131328,36,   00:00:12    0.00      0.21      12.42 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141472236 kB
2026-01-23T08:41:12-05:00,c24-30,131328,24,   00:00:20    0.01      0.33      19.97 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139195836 kB
2026-01-23T08:42:11-05:00,c24-31,131328,36,   00:00:19    0.01      0.31      18.63 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141481908 kB
2026-01-23T08:44:54-05:00,c24-30,131328,36,   00:00:18    0.01      0.30      18.03 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141471904 kB
2026-01-23T08:48:37-05:00,c24-43,131328,12,   00:00:26    0.01      0.44      26.20 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136957000 kB
2026-01-23T08:50:36-05:00,c24-43,131328,24,   00:00:22    0.01      0.37      22.05 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139198436 kB
2026-01-23T08:53:39-05:00,c24-47,131328,36,   00:00:19    0.01      0.32      19.18 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141458904 kB
2026-01-23T08:55:07-05:00,c24-43,131328,36,   00:00:19    0.01      0.32      19.13 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141476896 kB
2026-01-23T11:25:09-05:00,c24-45,131328,24,   00:00:28    0.01      0.46      27.58 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139209056 kB
2026-01-23T11:25:22-05:00,c24-45,131328,12,   00:00:39    0.01      0.65      38.95 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136955912 kB
2026-01-23T11:25:59-05:00,c24-45,131328,36,   00:00:19    0.01      0.32      19.15 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141472108 kB
2026-01-23T13:30:24-05:00,c18-19,131328,24,   00:00:51    0.01      0.84      50.51 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139464628 kB
2026-01-23T13:31:07-05:00,c18-19,131328,12,   00:01:31    0.03      1.51      90.61 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136856448 kB
2026-01-23T13:32:07-05:00,c18-19,131328,36,   00:00:33    0.01      0.54      32.52 % HH:MM:SS=hours=minutes=seconds,Overall usage:         142094312 kB
2026-01-23T13:40:38-05:00,c18-46,131328,24,   00:00:49    0.01      0.82      49.23 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139516988 kB
2026-01-23T13:41:23-05:00,c18-46,131328,12,   00:01:32    0.03      1.54      92.33 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136862192 kB
2026-01-23T13:42:24-05:00,c18-46,131328,36,   00:00:33    0.01      0.54      32.63 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141980768 kB
2026-01-23T13:59:18-05:00,c18-14,131328,24,   00:00:58    0.02      0.97      58.29 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139712564 kB
2026-01-23T14:00:14-05:00,c18-14,131328,12,   00:01:52    0.03      1.87     112.19 % HH:MM:SS=hours=minutes=seconds,Overall usage:         137046728 kB
2026-01-23T14:00:19-05:00,c18-13,131328,12,   00:01:55    0.03      1.92     115.47 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136784416 kB
2026-01-23T14:01:28-05:00,c18-14,131328,36,   00:00:38    0.01      0.64      38.41 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141892468 kB
2026-01-23T14:01:48-05:00,c18-13,131328,24,   00:00:57    0.02      0.96      57.35 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139402808 kB
2026-01-23T16:50:30-05:00,c18-09,131328,24,   00:00:57    0.02      0.94      56.53 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139738648 kB
2026-01-23T16:51:33-05:00,c18-09,131328,12,   00:01:56    0.03      1.94     116.19 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136804104 kB
2026-01-23T16:52:33-05:00,c18-09,131328,36,   00:00:38    0.01      0.64      38.36 % HH:MM:SS=hours=minutes=seconds,Overall usage:         142505348 kB
2026-01-23T16:53:27-05:00,c18-41,131328,12,   00:01:50    0.03      1.84     110.24 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136824572 kB
2026-01-23T16:54:32-05:00,c18-41,131328,24,   00:00:57    0.02      0.95      56.95 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139675524 kB
2026-01-23T16:59:10-05:00,c18-06,131328,24,   00:00:59    0.02      0.98      58.81 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139700724 kB
2026-01-23T17:00:15-05:00,c18-06,131328,12,   00:01:59    0.03      1.99     119.47 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136791968 kB
2026-01-23T17:00:51-05:00,c18-30,131328,12,   00:01:52    0.03      1.87     112.02 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136835656 kB
2026-01-23T17:01:21-05:00,c18-06,131328,36,   00:00:37    0.01      0.61      36.86 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141916904 kB
